idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
40111,a club - record 109 games,ARTICLE NN HYPH RECORD CD NNS,a,club - record,109,games,15,0.5110294117647058
209357,a mere 360 metres,ARTICLE JJ CD NNS,a,mere,360,metres,15,0.5171568627450981
209550,a mere 360 metres,ARTICLE JJ CD NNS,a,mere,360,metres,15,0.5171568627450981
229447,a full 15 games,ARTICLE JJ CD NNS,a,full,15,games,15,0.5110294117647058
229503,a distant 30 games,ARTICLE JJ CD NNS,a,distant,30,games,15,0.5110294117647058
643629,an international 60 metres,ARTICLE JJ CD NNS,an,international,60,metres,15,0.5171568627450981
815055,a possible 45 games,ARTICLE JJ CD NNS,a,possible,45,games,15,0.5110294117647058
834155,a good thirty dollars,ARTICLE JJ CD NNS,a,good,thirty,dollars,15,0.5049019607843137
1104143,a career - best 20 games,ARTICLE NN HYPH JJ CD NNS,a,career - best,20,games,15,0.5110294117647058
1104938,a further 15 games,ARTICLE JJ CD NNS,a,further,15,games,15,0.5110294117647058
1209325,"a record 78–76 , 30 games","ARTICLE RECORD CD , CD NNS",a,record,"78–76 , 30",games,15,0.5110294117647058
1270300,a deep trench 3×5 metres,ARTICLE JJ NN CD NNS,A,deep trench,3×5,metres,15,0.5171568627450981
1270302,a single room 8×3 metres,ARTICLE JJ NN CD NNS,a,single room,8×3,metres,15,0.5171568627450981
1421006,a half - billion dollars,ARTICLE JJ HYPH CD NNS,a,half -,billion,dollars,15,0.5049019607843137
1507894,a reported 14 million dollars,ARTICLE JJ CD CD NNS,a,reported,14 million,dollars,15,0.5049019607843137
1515269,an additional 11 games,ARTICLE JJ CD NNS,an,additional,11,games,15,0.5110294117647058
1785856,a lowly 35 metres,ARTICLE JJ CD NNS,a,lowly,35,metres,15,0.5171568627450981
1792370,a final eight games,ARTICLE JJ CD NNS,a,final,eight,games,15,0.5110294117647058
1814607,an extra 8 games,ARTICLE JJ CD NNS,an,extra,8,games,15,0.5110294117647058
1919369,a massive structure 18 metres,ARTICLE JJ NN CD NNS,a,massive structure,18,metres,15,0.5171568627450981
1985835,a further 600 metres,ARTICLE JJ CD NNS,a,further,600,metres,15,0.5171568627450981
2097036,a record 195 games,ARTICLE RECORD CD NNS,a,record,195,games,15,0.5110294117647058
2183896,a combined 11 games,ARTICLE VBN CD NNS,a,combined,11,games,15,0.5110294117647058
2195533,a career - high 17 games,ARTICLE NN HYPH JJ CD NNS,a,career - high,17,games,15,0.5110294117647058
2199339,a possible 78 games,ARTICLE JJ CD NNS,a,possible,78,games,15,0.5110294117647058
2283575,an extra ten dollars,ARTICLE JJ CD NNS,an,extra,ten,dollars,15,0.5049019607843137
2391857,a straight five dollars,ARTICLE JJ CD NNS,a,straight,five,dollars,15,0.5049019607843137
