idx,construction,corrupted_construction,corrupted_sentence
1,a good ten years,ten good years,"Although Nicki was ten good years older than herself , she had treated Faedra like a sister and taken her under her wing ."
2,a good twenty feet,twenty good feet,""" But , Mr. Thompson , I have my hands in the filing cabinet filing the records you just gave me and the nearest phone is all the way over there , "" she pointed to a desk twenty good feet away ."
3,a balmy 25 degrees,25 balmy degrees,The trees were green and the temperature was 25 balmy degrees with a slight breeze swaying the branches .
4,a convenient two minutes,two convenient minutes,"On the other side of the square , Camille 's elegant Haussemanian apartments overlooked the spring greenery , two convenient minutes from the market where a kaleidoscope of scenes met Anna 's eye , so different from her home in San Sebastian ."
5,a very pleasant 27 degrees,27 very pleasant degrees,"The temperature had risen to 27 very pleasant degrees , strangely the streets seemed half - deserted of traffic ."
6,"a further 100,000 hectares","100,000 further hectares","Then , in 2019 , in spite of protestation , 100,000 further hectares were lost in the Tinigua , Serrania de Chiribiquete and Sierra de la Macarena National Parks and in the Nukak National Natural Reserve ."
7,a second two weeks,two second weeks,"At the same time frenetic work commenced on the building of a new 1,000 bed hospital to handle those infected by the disease , it would be operational in a week the authorities announced , and two second weeks later ."
8,a helpful six months,six helpful months,"The work was n't well - paid or plentiful , but I did get six helpful months as the assistant restorer on a project to restore the Fifteenth century wood panel paintings of Saints in a Church in East Anglia ."
9,a few hundred yards,hundred few yards,"The town had a market - place and hundred few yards of tarmacked roads , but they quickly petered out into the desert ."
10,a pretty hard two weeks,two pretty hard weeks,Have had two pretty hard weeks getting ready for my poor .
11,a good twenty years,twenty good years,"Landers ' face dropped so much that it looked as if he had aged twenty good years in a couple of seconds . """
12,a dreadful two nights,two dreadful nights,This was going to be two dreadful nights .
13,a good three inches,three good inches,"It was now tight as bark , the bottom ending three good inches above where her low - riding miniskirt began ."
14,a few hundred yards,hundred few yards,Olivia walked in hundred few yards and sat on a flat log that she liked .
15,a full 10 seconds,10 full seconds,They stared at each other for 10 full seconds .
16,a full ten seconds,ten full seconds,She held my gaze for ten full seconds before she eventually dragged her focus away to play with the hem of her pink tee shirt .
17,a small eight times,eight small times,"Dad had eight small times magnification telescopic telescope he let me use to view the stars at night , I went and got it to take a closer look at this strange sight in the sky ."
18,a few hundred people,hundred few people,Lucy went down tunnel 2 which led to a large canteen where hundred few people were gathering .
19,an entire seventeen years,seventeen entire years,"I could not deny that I had lived seventeen entire years feeling consistently out of sync with the world , and now that I knew what I was , I only felt more out of place ."
20,a good twenty yards,twenty good yards,I flipped backwards twenty good yards to safety before landing in a defensive crouched position ready for their retaliation .
21,a good twenty yards,twenty good yards,The impact of our bodies colliding sent us both twenty good yards into the surf .
22,a full three days,three full days,"The weapon had been received nearly two years before , sometime shortly following his return from Bear Hill , appearing as a long white cylinder that he noticed only on venturing from the cabin after three full days respite ."
23,a good ten minutes,ten good minutes,"Not long after that , and with ten good minutes hard paddling still to go before his destination , a new crisis presented itself ."
24,an extra six inches,six extra inches,"He had planned it this way , had raised the blind six extra inches to enhance the effect ."
25,a full four feet,four full feet,"Three huge , black , iron hinges were placed as the wall went up , their support wings going back into the granite and concrete four full feet ."
26,a full five minutes,five full minutes,"The pictures of the body made him shiver , but he looked at every one very carefully , spending almost five full minutes on each ."
27,a good 45 minutes,45 good minutes,"Still , it took 45 good minutes and he was beginning to feel the pangs of hunger ."
28,a whole two years,two whole years,It was like that for two whole years and I saw a reason to change my story .
29,an additional 10 minutes,10 additional minutes,Bake 10 additional minutes until the marshmallows are melted .
30,an additional 30 seconds,30 additional seconds,Cook for 1 1/2 minutes and then flip and cook for 30 additional seconds . (
31,a whole 1.4 seconds,1.4 whole seconds,"I looked up at the scoreboard and saw I had indeed lost 1.4 whole seconds off my previous record time . """
32,a full two hundredths,two full hundredths,It took two full hundredths of a second for me to jump off and follow him ; then race was really on .
33,a simple three things,three simple things,"By now I 'm going , what started out as three simple things , which were : have a longing for God 's Love , have a longing for God 's Truth , and feel all of my emotions in humility — which all sounds pretty easy to do really , it seems pretty simple to me — all of a sudden there are all of these aspects of it so that , those three things , they feel almost impossible now , particularly the third one , the one about being humble and feeling everything ."
34,a good thirty minutes,thirty good minutes,It was thirty good minutes before I calmed down enough to even try to sleep .
35,a full ten minutes,ten full minutes,"Kicks were tossed at each others ' neck , while punches where aimed to one another 's chin , it went on for ten full minutes and neither one of the two girls looked tier ."
36,a meager hundred dollars,hundred meager dollars,"They came with nothing and worked for nothing but their board , three squares a day and chits for hundred meager dollars a week , which they were encouraged to save ."
37,a full three seconds,three full seconds,It was three full seconds before he looked up and saw her .
38,a full six inches,six full inches,"Bihydrant said , "" Our leader is six full inches ."
39,an extra fifteen minutes,fifteen extra minutes,"I was still one block away from home , but I needed the diversion , even though it meant me walking fifteen extra minutes ."
