idx,sentence
75,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check."
86,And then that escalated to a couple hundred thousand dollars.
91,"Well, anyone who's ever done construction would tell you that a bid and acceptance for a $10 million job would look"
884,We haven't started that yet but it will more of a smaller three to four people one on one with the teacher.
905,"I believe that it is really important how much we have learned through this project, how incredible organizational skills are needed to arrange a staying for 60 people in Poland."
1281,That's part of the reason that we passed a payroll tax cut at the beginning of this year -- so that the average American would get an extra $40 in every paycheck to help offset the price of gas.
2388,"Yeah, well, I know I've not 'ad bath for a good few seasons, but there's no need to 'urt my feelin's."
3464,"Sorry about that pal, it's just I've 'ad a lot of bad experience with walls, you know, what with talking to them and climbing them, and me dad's driven me up a good few of them in 'is time, you know what I mean?"
1371,"and as he's quality  only run on perhaps another nine months or a year or whatever, and then revert to the same job description as John"
2957,So there's an extra sheet three B.
3614,"In 2006/2007 his best were two last-32 runs, and another followed at the 2008 Welsh Open, the highlight of a solid 2007/2008 season."
3616,"62 in the rankings, carrying a very low one-year total of 4320 into 2009/2010."
3728,Which is another three percent isn't it?
85,We're targeted at making a modest
230,Or how about a nice cold milk?
1350,With an extra two to three people?
1483,"Kealy and other members of the team took up positions behind the sand-bag parapet on the roof of the BATT house, firing at the Adoo with L1A1 SLR battle rifles, with one man firing the Browning M2HB heavy machine gun, with a further two men on ground level operating and firing an infantry mortar surrounded by sand-bags."
1762,"That year, 30% of all convictions for sexual offences in England and Wales concerned consensual gay sex, with such prosecutions costing the government £12 million, and the resulting prison terms an estimated £5.5 million."
1768,"In 1976, following a three-year internal inquiry, it was revealed that the squad had been running a protection racket over the Soho sex industry for at least two decades, with Detective Superintendent William Moody alone receiving an estimated £25,000 a year in bribes."
2557,Johnson spotted three Bf 109s a few hundred feet higher and travelling in the same direction.
2688,"Coming out of the cloud, Johnson saw a lone Bf 109."
2740,"After an uneventful few months, RAF Fighter Command resumed its offensive policy in April 1942 when the weather cleared for large-scale operations."
2826,A further five victories against Fw 190s were achieved in June.
3039,"Johnson's wartime record was 515 sorties flown, 34 aircraft claimed destroyed with a further seven shared destroyed (three and one shared victories), three probable destroyed, 10 damaged, and one shared, destroyed on the ground."
3681,"This project involves excavations at Vetricella, a complex 9th- to 11th- century elite site near Scarlino, a study of Portus Scabris on the Tyrrhenian Sea, environmental and archaeological studies of the Pegora valley corridor, and a major analysis of Italian early Medieval silver coinage with a view to identifying silver extracted from the Colline Metallifere."
321,How about a nice cold milk?
921,"It was a shot of a face three inches from the lens, filling one-third of the left side of the frame."
1284,The popular nature of the revolt is evident in the fact that posters and notices were being handed out a full three days before the substantive acts of the revolution occurred on 12 January 1848.
1494,About a couple of thousand I think.
1596,And then it might actually be incredibly valuable to spend the end of a nice sunny Thursday afternoon here together.
1746,"It's, yeah somewhere I think it's a pound or two more but I can't be sure."
